prediction_id,timestamp,message,service,category,score,confidence,urgency_detected
3b42e1d1-0d63-444a-b923-849a17ea6bdb,2026-07-21T11:51:09.201107,"hello sagara team, i am alexander, i need help you built the apps my coffe shop",Mobile app development,Corporate,0.4,0.4,False
3e82da31-4bab-42a4-8649-b4ebe7976529,2026-07-21T12:04:45.119418,Mohon info penawaran harga pembuatan sistem informasi untuk dinas kesehatan kota.,IT outsourcing,Government,0.91,0.91,False
e3b3defd-01ee-4495-ac55-f2bc2fc05fbb,2026-07-21T12:10:06.632256,Kami dari yayasan komunitas lokal ingin dibuatkan website donasi.,IT outsourcing,SME,0.99,0.99,False
7315c343-ce7c-4136-9b20-09c4cb7430d3,2026-07-21T12:33:10.694356,"Selamat siang, PT kami sedang membutuhkan solusi ERP skala enterprise untuk mengelola ratusan karyawan",Digital transformation / custom software,Corporate,0.97,0.97,False
8568a7b5-653c-4668-9321-7e9cb66da8e1,2026-07-22T11:39:14.445859,saya mau buat web untuk kedai ku,IT outsourcing,SME,0.49,0.49,False
d32c0eaa-f48b-4926-850e-ecccd2f6b863,2026-07-22T13:11:18.769904,saya mau buat aplikasi untuk tata kota,Web Development,SME,0.48,0.48,False
d81f3551-603a-4bb5-a528-86f98bf44282,2026-07-22T13:13:27.758285,saya mau buat aplikasi untuk tata kota,Web Development,SME,0.48,0.48,False
1071d503-a1f3-476f-923e-1836587ea81f,2026-07-23T09:12:21.409374,"Halo tim Sagara. Saat ini kami sedang menghadapi masalah sinkronisasi data logistik lintas pulau antar 45 kantor cabang kami di seluruh Indonesia. Sistem yang berjalan saat ini sudah mulai lambat dan sering kewalahan karena harus memproses lebih dari ratusan ribu transaksi per harinya, terutama saat peak season akhir tahun. Kami sedang mencari mitra IT untuk melakukan migrasi ke infrastruktur cloud yang jauh lebih tangguh. Kami membutuhkan jaminan SLA minimal 99.9% uptime, karena downtime 1 jam saja kerugian materialnya sangat signifikan bagi kami. Apakah kalian memiliki skema penyediaan tim developer dedicated untuk proyek re-platforming berskala besar ini?",,Corporate,0.99,0.99,False
3e555bf1-954e-4665-b4c0-f8dd8becfde5,2026-07-23T09:17:05.815466,"Halo, lembaga kami saat ini sedang melaksanakan program percepatan digitalisasi pelayanan masyarakat berskala nasional. Kami membutuhkan sistem manajemen data warga terpusat yang memiliki tingkat keamanan tinggi, mengingat data yang dikelola sangat konfidensial dan berkaitan langsung dengan hajat hidup orang banyak. Selain itu, pengerjaan proyek ini harus mengikuti prosedur pengadaan barang dan standar regulasi yang sangat ketat. Apakah tim Sagara memiliki sertifikasi keamanan dan pengalaman menangani proyek sektor publik berskala besar seperti ini?",,Corporate,0.81,0.81,False
e943d5a7-0edf-4f9a-9ced-7c74c463dbc5,2026-07-23T09:17:16.355525,"Halo, instansi kami sedang merencanakan pembaruan sistem pusat data untuk menunjang optimalisasi layanan publik. Sistem ini nantinya akan diakses oleh seluruh warga dan harus mematuhi regulasi keterbukaan informasi publik serta audit keamanan yang ketat dari pihak berwenang. Kami mencari vendor IT yang sudah terbiasa menangani lelang dan memiliki sertifikasi keamanan sesuai standar prosedur kami. Apakah tim Anda sanggup memenuhi persyaratan administratif ini?",,Government,0.49,0.49,False
31c97ad3-1622-44dd-a921-2d8464eece7b,2026-07-23T09:30:36.684128,"Halo, instansi kami saat ini sedang merencanakan pembaruan sistem pusat data untuk menunjang optimalisasi layanan publik. Sistem ini nantinya akan diakses oleh seluruh warga dan harus mematuhi regulasi keterbukaan informasi publik serta audit keamanan yang sangat ketat dari pihak berwenang. Kami mencari vendor IT yang sudah terbiasa menangani lelang pengadaan barang/jasa dan memiliki sertifikasi keamanan sesuai standar prosedur kami. Apakah tim Sagara sanggup memenuhi persyaratan administratif dan teknis ini?",,Corporate,0.5,0.5,False
457f0bc1-4fa1-4b74-a408-51081633a128,2026-07-23T14:13:04.912973,"saya punya toko di daerah bandung, saya butuh web untuk kasir biar pekerjaan tim ku mudah. toko nya ngk besar",Web development,SME,0.99,0.99,False
3f341dc5-d502-4596-a2b3-0b8d31c6b073,2026-07-23T14:13:52.609036,p,Web development,SME,0.43,0.43,False
accd35a4-73d9-4087-9636-fc5c2a887db1,2026-07-23T14:14:05.155627,p,Web development,SME,0.43,0.43,False
38ac9b14-3c74-44dc-a3dc-9632800fa687,2026-07-23T14:14:18.109934,p,Web development,SME,0.43,0.43,False
53f5c2da-4d39-4bb3-91c7-f3bdc9321bf4,2026-07-23T14:16:45.088407,halo,Web development,SME,0.39,0.39,False
e5f01295-021e-42ad-981d-b96e6fec20b3,2026-07-25T13:21:20.345191,saya mau buat custom untuk toko yang baru saya buat,Digital transformation / custom software,SME,0.98,0.98,False
5084cd73-f5f6-44f3-86a4-571747465a91,2026-07-25T13:54:33.301700,saya butuh tim it,IT outsourcing,Corporate,0.52,0.52,False
722ed895-3eb1-409b-b110-fbefd5f6e4e3,2026-07-25T14:27:31.813103,transfrmer,Digital transformation / custom software,Corporate,0.69,0.69,False
